site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
P1,B,2,FF,53,0.075,3.97,3.86,3.08,40.83,1.34,77.71,137.37,9.38,1.18,253.38,1.23,3.45,0.8,0.35,0.81,0.74,2.68
P1,B,3,FF,54,0.075,4.04,4.14,3.16,22.68,0.81,30.49,76.63,5.92,0.08,201.68,-0.06,5.4,0.86,0.24,0.43,0.79,2.42
P1,B,4,FF,36.5,0.073,2.67,4.15,3.11,38.42,1.35,68.76,137.68,21.08,0.99,318.74,2,3.61,0.66,0.24,0.41,0.89,3.53
P1,B,5,FF,56.3,0.114,6.4,3.88,3.12,29.05,0.85,47.42,113.21,14.94,0.08,50.64,0.24,9.84,0.41,0.12,0.28,0.83,2.32
P1,B,6,FF,50,0.051,2.53,4.2,3.38,NA,NA,73.27,190.38,21.39,0.24,267.87,3.32,9.99,0.87,0.32,0.66,0.75,2.06
P1,B,7,FF,40.3,0.097,3.9,3.81,3.11,44.87,1.6,92.34,210.07,24.71,0.9,178.74,1.58,12.66,0.81,0.41,0.82,0.74,6.29
P1,B,8,FF,31.5,0.098,3.1,4.07,3.14,NA,NA,76.57,157.37,26.1,0.93,320.41,1.72,6.74,1.09,0.38,0.76,1.07,3.4
P1,B,9,FF,34.3,0.074,2.52,3.36,3.28,39.51,1.41,73.1,140.32,18.02,0.65,106.64,-0.38,7.01,1.1,0.38,0.78,0.54,1.92
P1,B,10,FF,18.5,0.104,1.93,4.46,3.56,43.67,1.6,86.64,215.57,53.73,0.2,40.08,0.07,5.81,3.01,0.48,0.77,0.58,2.22
P1,C,3,FF,32.5,NA,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,0.65,0.24,0.49,0.74,2.77
P1,C,5,FF,22.5,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1.31,0.45,1.21,0.63,1.42
P1,C,7,FF,37.5,NA,NA,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27,2.12,0.77,1.5,0.85,1.99
P1,C,9,FF,27.8,NA,NA,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,1.44,0.74,1.04,0.92,0.99
P1,D,2,FF,53.8,0.06,3.22,3.8,3.12,37.08,1.29,74.5,135.69,14.21,1.12,583.71,1.22,8.21,2.05,0.88,1.44,0.93,2.38
P1,D,3,FF,49,0.136,6.67,4.04,3.09,30.81,1,60.59,132.75,12.55,1.49,111.72,-0.44,3.14,1.09,0.17,0.4,0.72,1.91
P1,D,4,FF,35,0.142,4.96,4.05,3.03,35.71,1.15,79.03,149.7,14,0.71,163.56,2.01,6.38,2.24,0.74,1.05,0.49,1.43
P1,D,5,FF,38.5,0.081,3.14,4.38,3.24,28.09,0.98,52.53,126.68,32.38,0.72,209.52,-0.72,7.27,3.7,0.92,2.07,0.54,0.65
P1,D,6,FF,47.3,0.079,3.75,4.01,3.35,25.44,0.92,42.28,60.24,18.06,0.89,305.74,1.31,6.36,3.23,0.85,1.56,0.67,2.09
P1,D,7,FF,28,0.121,3.39,4.16,3.39,35.77,1.22,56.58,152.95,14.72,0.16,160.96,0.56,6.08,2.38,0.72,1.19,0.86,1.48
P1,D,8,FF,28.3,0.123,3.47,3.95,3.14,33,1.15,61.02,141.92,11.97,1.65,122.16,-1.65,7.53,2.4,0.97,1.48,0.97,5.38
P1,D,9,FF,40.8,0.078,3.2,3.02,3.02,21.87,0.71,86.31,214.6,17.58,1.07,316.51,3.07,5.59,3.23,0.95,1.4,0.75,2.42
P1,D,10,FF,45.5,0.049,2.23,3.93,3.16,44.04,1.92,85.79,256.52,32.45,0.94,526.91,1.08,3.98,1.37,0.66,1.32,1.33,2.57
P1,E,3,FF,73.8,NA,NA,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.68,3.11,0.63,0.82,0.75,1.58
P1,E,5,FF,36.3,NA,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37,2.71,0.75,1.49,0.69,1.14
P1,E,7,FF,52.5,NA,NA,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.44,0.12,0.5,0.9,2.79
P1,E,9,FF,47.5,NA,NA,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.6,0.44,0.95,0.85,3.6
P1,F,2,FF,41.5,0.076,3.15,3.97,3.18,NA,NA,66.37,109.27,10.16,0.85,94.32,0.19,3.4,1.55,0.56,0.92,1.09,2.83
P1,F,3,FF,44.3,0.103,4.56,3.92,3.03,33.85,1.55,65.92,137.2,4.05,0.87,132.01,-0.29,5.37,3.04,0.77,1.07,0.74,2.73
P1,F,4,FF,37.5,0.081,3.02,3.98,3.06,35.84,1.55,66.93,179.98,6.56,1.07,103.44,0.26,4.84,3.7,0.94,1.26,0.71,1.42
P1,F,5,FF,32.5,0.082,2.67,3.15,3.19,27.54,1.27,52.83,118.92,6.71,0.38,222.88,2.73,2.34,2.49,0.72,0.94,0.81,1.84
P1,F,6,FF,54.5,0.038,2.08,3.77,3.02,45.49,2.05,91,210.83,10.19,0,248.38,4.02,5.09,1.78,0.71,1.29,0.93,1.97
P1,F,7,FF,43,0.037,1.61,3.98,3.09,41.17,1.78,77.1,205.17,11.55,0.48,242.2,1.39,6.83,1.38,0.78,1.08,0.97,1.39
P1,F,8,FF,33.3,0.046,1.53,4.24,3.36,33.35,1.74,63.51,69.48,29.07,0.5,383.13,-0.5,6.1,1.72,0.47,1.13,0.85,2.47
P1,F,9,FF,61.5,0.048,2.93,4.02,3.21,36.04,1.87,74.81,198.42,16.59,0.2,171.97,-0.2,3.59,4.28,0.95,1.76,1.38,3.58
P1,F,10,FF,84.3,0.972,2.21,4.18,3.26,34.35,1.78,60.86,199.23,16.19,0.69,864.74,-0.01,6.91,2.67,0.81,0.81,1.21,4.61
P1,B,2,MIN,NA,0.62,92.95,4.43,3.94,2.73,0.07,7.18,11.83,0.01,0.04,7.2,0.6,1.69,0,0.03,0.23,0.32,0.61
P1,B,3,MIN,NA,0.713,107,4.67,4.11,3.19,0.1,7.28,10.56,1.23,3.18,-1.67,-2.92,1.06,0,0.01,0.07,0.34,0.6
P1,B,4,MIN,NA,0.709,106.29,4.41,3.93,3.65,0.11,8.06,8.31,1.34,0,1.68,0,1.76,0,0.02,0.13,0.33,0.57
P1,B,5,MIN,NA,0.757,113.48,4.55,4.19,2.4,0.07,6.66,10.76,3.84,0,-1.93,0,1.25,0,0.02,0.11,0.28,0.45
P1,B,6,MIN,NA,0.617,92.52,4.9,4.31,NA,NA,6.84,20.97,5.45,0.23,5.7,1.57,1.65,0,0.02,0.1,0.34,0.64
P1,B,7,MIN,NA,0.661,99.21,4.4,3.83,4.58,0.12,10.31,27.94,3.21,0,0.04,0.28,1.05,0,0.03,0.17,0.31,0.54
P1,B,8,MIN,NA,0.724,108.57,4.54,4.05,2.88,0.08,7.57,16.16,1.26,0,7.36,0.84,1.81,0,0.03,0.16,0.35,0.53
P1,B,9,MIN,NA,0.613,91.92,4.57,4.11,4.07,0.15,8.33,37.86,3.32,0.2,1.23,0.18,1.34,0,0.02,0.13,0.32,0.52
P1,B,10,MIN,NA,0.636,95.47,4.62,4.28,3.22,0.08,9.85,24.49,5.18,0,4.39,0.27,1.27,0,0.02,0.12,0.29,0.47
P1,C,3,MIN,NA,NA,NA,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0,0.02,0.07,0.34,0.61
P1,C,5,MIN,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,0,0,0.12,0.31,0.47
P1,C,7,MIN,NA,NA,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,0,0,0.13,0.34,0.56
P1,C,9,MIN,NA,NA,NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0,0.01,0.08,0.35,0.61
P1,D,2,MIN,NA,0.766,114.97,4.53,4.11,3.07,0.08,7.48,39.4,5.07,0.23,3.98,0.95,0.8,0,0.01,0.14,0.4,0.62
P1,D,3,MIN,NA,0.816,122.38,4.69,4.22,3.44,0.06,7.31,22.25,4.34,0.19,1.9,1.25,0.76,0,0,0.08,0.3,0.5
P1,D,4,MIN,NA,0.673,100.88,4.63,4.16,3.57,0.1,7.7,12.81,4.33,0.11,4.83,0.89,1.24,0,0,0.1,0.27,0.54
P1,D,5,MIN,NA,0.762,114.23,4.5,4.03,4.19,0.11,7.91,32.24,1.93,0.2,5.13,0.72,1.16,0,0.01,0.09,0.25,0.47
P1,D,6,MIN,NA,0.738,110.64,4.55,4.24,3.66,0.09,7.47,13.47,3.67,0.28,1.24,-0.12,1.11,0,0,0.11,0.25,0.42
P1,D,7,MIN,NA,0.817,122.48,4.72,4.25,3.05,0.07,7.17,21.01,4.22,0.11,1.15,0.44,1.01,0,0.01,0.08,0.32,0.53
P1,D,8,MIN,NA,0.68,102,4.77,4.2,3.26,0.11,8.15,11.95,7.39,0.61,-2.23,0.36,1.34,0,0.01,0.11,0.38,0.56
P1,D,9,MIN,NA,0.74,111.04,3.96,3.98,4.49,0.11,10.05,22.33,8.13,0.17,-0.19,1.05,1.08,0,0.01,0.11,0.4,0.65
P1,D,10,MIN,NA,0.723,108.41,4.66,4.27,NA,NA,11.89,7.65,4.21,0,5.26,0.53,1.95,0,0.02,0.12,0.42,0.62
P1,E,3,MIN,NA,NA,NA,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,0,0.03,0.11,0.33,0.65
P1,E,5,MIN,NA,NA,NA,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,0,0,0.05,0.24,0.35
P1,E,7,MIN,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0,0,0.05,0.35,0.5
P1,E,9,MIN,NA,NA,NA,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,0,0,0.08,0.49,0.69
P1,F,2,MIN,NA,0.729,109.41,4.48,4.25,NA,NA,7.63,7.12,6.6,0.64,1.44,0.86,1.06,0,0,0.09,0.39,0.7
P1,F,3,MIN,NA,0.685,102.81,4.45,4.19,3.41,0.19,8.17,8.06,3.13,0.59,-1.34,0.44,1.14,0,0,0.07,0.43,0.6
P1,F,4,MIN,NA,0.772,115.77,4.91,4.36,2.58,0.13,6.65,16.32,6,0.45,-1.72,1.18,0.97,0.01,0.01,0.11,0.29,0.51
P1,F,5,MIN,NA,0.652,97.8,4.58,4.26,3.33,0.13,6.36,15.85,3.32,0.84,-2.63,-0.84,1.13,0.03,0.02,0.17,0.28,0.64
P1,F,6,MIN,NA,0.683,102.5,4.71,4.12,3.27,0.21,6.88,8.76,4.88,0.94,-2.44,2.44,0.98,0.11,0.05,0.12,0.32,0.59
P1,F,7,MIN,NA,0.652,97.77,4.78,4.28,3.63,0.16,8.12,4.77,7.58,0.45,0.65,0.8,0.88,0.08,0.02,0.08,0.39,0.65
P1,F,8,MIN,NA,0.701,105.18,4.75,4.32,3.74,0.25,8.08,7.01,4.21,0,-1.11,0.95,1,0.08,0.02,0.04,0.48,0.62
P1,F,9,MIN,NA,0.613,91.99,4.56,4.2,6.34,0.36,15.19,19.85,13.13,0.44,-7.13,-0.02,0.63,0.08,0.07,0.17,0.7,0.98
P1,F,10,MIN,NA,0.521,78.22,4.63,4.23,3.13,0.18,8.66,15,5.87,0.61,-0.69,0.48,3.08,0.08,0.09,0.17,0.57,0.94
P2,B,2,FF,108,0.027,2.89,4.08,3.17,45.31,1.78,91.04,167.81,7.49,0,91.92,0.14,8.32,1.8,0.51,0.84,2.03,3.11
P2,B,3,FF,27.3,0.09,2.46,3.91,3,42.03,1.77,86.94,102.87,13.25,0.84,254.69,2.85,8.64,1.99,0.8,1.44,1.58,1.37
P2,B,4,FF,42.8,0.066,2.82,3.93,3.02,32.83,1.46,75.97,110.89,14.89,0.66,186.44,1.89,6.94,1.68,0.52,1.11,1.28,1.52
P2,B,5,FF,25.5,0.146,3.71,4.01,3.06,40.61,1.78,81.23,161.31,14.53,0.82,185.34,1.48,6.45,1.89,0.71,1.31,1.14,1.53
P2,B,6,FF,40,0.058,2.31,4.23,3.35,30.44,1.39,61.84,148.64,28.71,0,421.21,0,9.91,1.83,0.66,1.62,0.87,0.49
P2,B,7,FF,9.8,0.293,2.86,3.61,3,38.72,1.59,78.1,158.59,9.99,0,248.14,6.5,6.91,1.92,0.64,0.96,0.96,1.24
P2,B,8,FF,31,0.142,4.41,3.88,3.02,34.96,1.51,72.62,74.43,22.89,0.63,143.04,0.69,4.07,1.13,0.38,0.91,0.87,0.94
P2,B,9,FF,27.5,0.185,5.1,4.08,3.13,28.71,1.06,44.67,116.82,22.51,0.32,113.76,2.79,2.22,0.36,0.08,0.38,0.66,0.66
P2,B,10,FF,31.5,0.088,2.79,3.04,3.28,40.89,1.82,85.46,150.96,17.04,0,273.23,1.93,5.45,2.15,0.37,1.39,0.79,1.45
P2,C,3,FF,63.8,NA,NA,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,1.72,0.58,0.78,1.43,2.48
P2,C,5,FF,47.5,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,4.16,0.89,0.73,1.81,0.91
P2,C,7,FF,32.5,NA,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,0.56,0.13,1.13,0.9,0.98
P2,C,9,FF,33.8,NA,NA,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,2,0.84,1.31,1.32,1.44
P2,D,2,FF,63.3,0.051,3.2,3.82,2.8,41.53,1.6,88.34,177.78,52.79,3.78,32.28,-3.78,8.16,1.62,0.61,0.72,1.73,2.47
P2,D,3,FF,26,0.049,1.28,4.08,3.2,32.86,1.08,60.71,183.62,11.52,3.93,114.08,-3.93,5.42,1.66,0.57,0.82,1.02,1.23
P2,D,4,FF,21.5,0.105,2.27,4.11,3.15,29.28,1.23,50.15,91.84,6.35,1.63,206.23,-1.63,5.87,1.58,0.62,0.74,0.82,1.62
P2,D,5,FF,22.8,0.106,2.4,3.53,2.84,44.97,1.49,86.49,155.21,12.42,0.57,227.76,-0.26,5.68,1.47,0.61,0.99,1,1.22
P2,D,6,FF,46.3,0.036,1.68,3.95,2.98,40.82,1.39,80.95,139.26,13.27,1.15,338.84,-1.15,11.35,2.22,0.82,1.46,1.11,1.53
P2,D,7,FF,53.8,0.038,2.06,4.08,3.11,37.56,1.36,81.2,141.09,13.03,1.39,161.45,-1.39,9.02,1.91,0.64,0.78,0.87,1.26
P2,D,8,FF,24.3,0.058,1.41,4.09,3.15,45.16,1.42,87.12,171,15.69,5.22,112.62,-5.22,3.51,1.05,0.34,0.55,1.1,1.47
P2,D,9,FF,26,0.06,1.57,4.05,3.09,23.8,0.95,75.75,185.42,13.17,0.96,283.92,-0.96,9.91,1.68,0.91,1,1.14,0.85
P2,D,10,FF,22.8,0.077,1.75,4.41,3.11,38.06,1.39,68.29,125.53,19.03,1.07,209.99,-1.07,7.17,1.86,0.6,1.63,0.85,1.19
P2,E,3,FF,47.5,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,1.22,0.56,0.94,0.98,1.81
P2,E,5,FF,53.8,NA,NA,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,1.27,0.56,1,1,0.6
P2,E,7,FF,28.8,NA,NA,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,0.86,0.36,0.64,0.95,1.45
P2,E,9,FF,47.5,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,1.82,0.7,0.8,0.98,1.83
P2,F,2,FF,27.3,0.096,2.62,4.14,3.22,42.72,1.4,78.4,117.08,53.01,0.57,165.34,0.65,9.22,2.41,0.66,1.02,1.28,1.32
P2,F,3,FF,30.3,0.094,2.85,4.34,3.03,42.47,1.81,84.4,184.97,32.52,1.53,238.84,-1.53,10.04,3.35,0.79,1.39,1.17,1.58
P2,F,4,FF,30.8,0.055,1.69,4.12,3.02,45.22,1.82,86.34,134.88,79.25,0.34,120.74,-0.34,4.84,1.6,0.52,0.9,1.04,1.3
P2,F,5,FF,40.5,0.07,2.85,3.79,2.86,44.62,1.67,90.49,147.15,41.89,0.91,152.42,1.03,11.83,1.67,0.58,1.38,1.22,1.28
P2,F,6,FF,42.8,0.087,3.71,3,2.8,47.72,1.75,92.82,110.68,357.62,5.31,-53.09,-2.92,5.25,1.56,0.43,0.84,1.42,2.06
P2,F,7,FF,49.3,0.055,2.71,4.13,2.93,47.55,1.75,93.88,153.63,231.62,2.54,187.28,-2.54,9.22,1.9,0.7,1.7,0.84,2.36
P2,F,8,FF,47.8,0.059,2.82,3.96,2.84,45.8,1.93,90.33,148.84,175.11,3.37,11.21,-3.37,5.02,1.62,0.5,0.55,0.89,1.58
P2,F,9,FF,31,0.051,1.57,3.79,3.01,46.92,1.92,91,153.1,302.44,3.53,16.15,-2.2,3.48,2.46,0.45,1,1.17,0.46
P2,F,10,FF,30,0.052,1.55,4.05,3.21,37.54,1.76,74.61,117.19,285.42,5.06,145.73,-5.06,7.44,2.49,0.71,1.63,0.84,1.55
P2,B,2,MIN,NA,0.508,76.25,4.37,3.92,7.15,0.31,16.53,9.6,5.36,0.24,-0.01,-0.14,1.82,0.01,0.01,0.1,0.76,0.87
P2,B,3,MIN,NA,0.5,74.95,4.49,4.1,4.7,0.21,11.19,11.26,2.85,0.29,3.51,0.05,1.43,0.04,0.01,0.1,0.81,0.66
P2,B,4,MIN,NA,0.569,85.38,4.48,4.22,4.09,0.21,9.25,22.5,6.71,0,-1.06,0,1.15,0,0,0.06,0.54,0.59
P2,B,5,MIN,NA,0.513,76.97,4.43,4,NA,NA,10.96,10.45,2.55,0.05,2.92,0.41,1.23,0,0.01,0.1,0.51,0.52
P2,B,6,MIN,NA,0.674,101.11,4.39,4.07,4.08,0.29,9.96,14.36,4.72,0,1.31,0.4,1.15,0.04,0.01,0.09,0.44,1.74
P2,B,7,MIN,NA,0.657,98.55,4.55,4.11,3.47,0.13,9.13,15.82,5.84,0.24,2.09,0.25,1.28,0,0,0.09,0.44,0.5
P2,B,8,MIN,NA,0.739,110.88,4.57,4.42,NA,NA,7.82,9.93,0.44,0,3.93,0.42,1.16,0,0,0.17,0.43,0.61
P2,B,9,MIN,NA,0.859,128.83,4.68,4.44,2.34,0.13,7.24,10.33,0,0.07,8.55,0.32,1.02,0,0,0.12,0.37,0.48
P2,B,10,MIN,NA,0.92,137.95,4.01,4.19,2.78,0.12,4.97,24.57,1.87,0.04,2.58,0.02,0.8,0,0,0.06,0.25,0.41
P2,C,3,MIN,NA,NA,NA,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,0,0,0.11,0.6,0.63
P2,C,5,MIN,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0,0,0.09,0.51,0.62
P2,C,7,MIN,NA,NA,NA,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0,0,0.13,0.52,0.65
P2,C,9,MIN,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0,0,0.13,0.43,0.55
P2,D,2,MIN,NA,0.477,71.56,4.04,3.53,7.82,0.28,15.76,4.46,1.01,0.47,8.18,-0.01,2.16,0,0.01,0.21,0.75,0.81
P2,D,3,MIN,NA,0.633,94.89,4.27,3.79,5.44,0.25,10.71,3.71,7.23,0.92,-0.29,-0.13,2.53,0,0,0.16,0.58,0.65
P2,D,4,MIN,NA,0.665,99.81,4.35,4.02,3.99,0.21,9.15,14.48,0.66,0,4.47,0.65,1,0.02,0.01,0.08,0.5,0.61
P2,D,5,MIN,NA,0.535,80.31,4.12,3.78,6.62,0.3,11.4,5.26,1.6,0.07,6.11,0.89,1.41,0.05,0.03,0.11,0.5,0.63
P2,D,6,MIN,NA,0.628,94.17,4.49,4.08,3.11,0.13,8.02,5.87,1.01,0,4.76,1.04,1.24,0.25,0.02,0.14,0.46,0.57
P2,D,7,MIN,NA,0.652,97.78,4.58,4.14,3.37,0.14,8.51,5.93,3.97,0.18,6.87,0.66,1.26,0.03,0.03,0.12,0.59,0.71
P2,D,8,MIN,NA,0.707,106.04,4.45,4.15,4.46,0.14,8.26,13.86,3.18,1.96,0.72,-1.27,0.86,0.06,0.02,0.09,0.52,0.6
P2,D,9,MIN,NA,0.569,85.34,4.48,4.06,3.55,0.18,9.96,14.49,2.32,0.27,3.93,0.75,1.28,0.09,0.05,0.15,0.44,0.56
P2,D,10,MIN,NA,0.822,123.36,4.59,4.49,2.48,0.13,6.7,6.44,2.58,0,-0.04,0.8,1.05,0.01,0.01,0.1,0.35,0.5
P2,E,3,MIN,NA,NA,NA,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0,0.03,0.07,0.34,0.66
P2,E,5,MIN,NA,NA,NA,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.01,0.01,0.12,0.42,0.52
P2,E,7,MIN,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.04,0.04,0.09,0.44,0.66
P2,E,9,MIN,NA,NA,NA,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,0.02,0.04,0.1,0.49,0.25
P2,F,2,MIN,NA,0.679,101.84,4.35,4.03,4.55,0.19,10.15,0,2.73,0,4.16,0,1.81,0,0.09,0.13,0.56,0.72
P2,F,3,MIN,NA,0.589,88.42,4.28,3.85,4.18,0.18,12.04,24.49,14.99,0.15,-6.62,0.2,1.79,0,0.02,0.15,0.51,0.86
P2,F,4,MIN,NA,0.633,94.97,4.5,3.84,4.27,0.1,9.32,12.33,3.21,0,5.15,1.58,1.9,0,0.05,0.11,0.43,0.6
P2,F,5,MIN,NA,0.587,88.09,4.36,3.87,4.18,0.18,9.47,8.92,9.37,0,-5.04,0,1.1,0.01,0.02,0.14,0.38,0.75
P2,F,6,MIN,NA,0.67,100.51,4.09,3.57,3.58,0.08,10.84,12.57,3.88,0,1.07,0.13,2.2,0.06,0.08,0.18,0.42,0.72
P2,F,7,MIN,NA,0.614,92.13,4.47,3.89,5.04,0.18,10.36,18.34,4.09,0.03,-1.51,0.2,2.34,0.06,0.04,0.19,0.52,0.75
P2,F,8,MIN,NA,0.605,90.69,4.39,3.97,3.95,0.15,11.79,11.31,15.76,0.04,-7.42,-0.04,1.33,0,0.1,0.13,0.51,0.66
P2,F,9,MIN,NA,0.653,97.94,4.39,4,3.77,0.11,9.76,9.35,4.11,0,9.11,0.46,1.52,0,0.06,0.13,0.53,1.21
P2,F,10,MIN,NA,0.721,108.13,4.68,4.28,3.79,0.11,9.91,21.47,15.45,0.03,-12.19,-0.01,1.56,0,0.05,0.14,0.51,0.72
S1,B,2,FF,33.8,0.124,4.17,3.56,2.71,46.76,1.59,90.6,102.36,4.7,1.02,224.83,-1.02,4.66,1.17,0.75,1.06,1.32,1.83
S1,B,3,FF,54.3,0.075,4.09,3.75,2.86,43.34,1.63,81.72,113.39,4.85,0,137.73,0,7.38,3.3,0.8,1.57,1.18,2.48
S1,B,4,FF,57.5,0.084,4.85,3.21,2.89,46.56,1.63,89.58,165.05,12.47,0,109.27,0,10.48,2.54,0.67,0.9,1.11,1.69
S1,B,5,FF,52.8,0.067,3.52,3.93,2.98,42.09,1.69,85.96,147.8,25.29,0.5,230.04,-0.5,8.23,1.87,0.85,1.15,1.13,1.84
S1,B,6,FF,77.5,0.055,4.25,3.67,2.96,35.69,1.18,77.59,92.56,5.9,0,155.93,0,5.68,0.46,0.2,0.72,1.24,1.97
S1,B,7,FF,42.3,0.116,4.89,4.08,3.1,35.53,1.09,62.49,52.65,7.81,1.08,51.31,1.52,7.73,2.53,0.76,1.15,1.25,1.85
S1,B,8,FF,42.5,0.092,3.9,3.77,2.89,43.87,1.55,85.35,128.61,2.76,0,99.52,0,9.68,2.02,0.72,1.67,1.03,1.51
S1,B,9,FF,80.3,0.088,7.05,3.64,2.82,42.03,1.29,87.03,116.16,0,1.02,66.14,-1.02,3.51,1.59,0.64,1.37,1.12,2.85
S1,B,10,FF,16.3,0.321,5.21,3.78,3.55,24.38,0.75,49,50.79,4.85,0.1,59.74,-0.1,8.86,3.39,0.84,1.46,0.85,2.88
S1,C,3,FF,53.8,NA,NA,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,1.38,0.82,1.52,1.15,3.31
S1,C,5,FF,71.3,NA,NA,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,0.76,0.21,0.72,0.91,0.85
S1,C,7,FF,51.3,NA,NA,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04,0.88,0.31,0.63,1.02,1.13
S1,C,9,FF,80,NA,NA,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.13,1.74,0.82,1.71,1.52,2.76
S1,D,2,FF,45,0.052,2.34,3.99,3.18,36.52,1.29,73.09,73.62,12.12,1.28,264.36,0.84,3.2,1.47,0.33,0.58,0.76,2.82
S1,D,3,FF,36.3,0.046,1.65,4,3.05,NA,NA,68.92,63.84,38.76,0.19,68.93,-0.19,3.54,0.66,0.25,0.54,0.79,1.99
S1,D,4,FF,61.3,0.049,3.01,3.34,2.98,43.63,1.66,80.57,123.06,14.2,0,65.2,0,6.09,1.78,0.63,1.16,1.02,2.14
S1,D,5,FF,61.3,0.027,1.65,4.38,3.29,40.5,1.92,82.9,138.94,107.76,3.13,158.7,-3.13,14.23,1.37,0.51,0.66,1.06,2.45
S1,D,6,FF,34.8,0.059,2.04,3.98,2.99,31.81,1.15,72.63,92.61,13.7,0.36,125.45,-0.36,7.64,1.73,0.75,1.16,1.13,2.02
S1,D,7,FF,72.8,0.04,2.91,3.58,3.18,20.9,0.82,49.85,64.18,9.75,1.26,156.9,-1.26,12.94,0.75,0.28,1.34,0.73,0.85
S1,D,8,FF,24,0.177,4.24,3.63,3.17,22.22,0.84,44.69,19.64,7.35,0.13,68.92,-0.13,10.94,3.61,0.87,1.3,0.79,1.08
S1,D,9,FF,52.3,0.09,4.72,3.44,2.84,48.43,1.88,93.19,159.16,8.58,0.11,137.68,-0.11,3.63,2.49,0.91,1.66,1.09,1.94
S1,D,10,FF,45.8,0.089,4.08,3.84,2.72,48.85,1.76,96.09,141.4,10.75,0,96.36,0,4.69,2.33,0.82,1.43,1.53,1.56
S1,E,3,FF,85,NA,NA,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,1.67,0.8,1.64,1.05,2.62
S1,E,5,FF,92.5,NA,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,1.33,0.62,1.15,1.14,2.52
S1,E,7,FF,65,NA,NA,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.48,0.83,0.71,1.62,0.97,2.08
S1,E,9,FF,83.8,NA,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,0.92,0.68,1.35,1.25,2.33
S1,F,2,FF,36,0.143,5.15,3.89,2.98,44.55,1.3,91,145.76,0,0,191.65,4.41,5.41,1.87,0.68,1.51,1.06,3.18
S1,F,3,FF,94.8,0.069,6.5,3.09,2.75,46.33,1.61,88.93,162.4,19,0,64.14,0,7.15,1.39,0.81,1.79,1.37,3.05
S1,F,4,FF,96,0.061,5.82,3.94,2.72,47.38,1.69,92.22,158.02,15.64,0.92,61.41,-0.92,7.83,1.52,0.7,1.42,1.51,2.06
S1,F,5,FF,73.8,0.057,4.19,3.58,2.65,48.42,1.77,93.99,116.85,12.85,0,58.84,0.98,4.18,1.08,0.54,0.97,1.69,3
