site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
W1,B,10,MIN,NA,0.416,62.4,4.19,3.83,9.14,0.38,20.22,33.57,3.91,0,35.76,0.19,4.92,0.12,0.07,0.51,0.89,0.86
W1,C,3,MIN,NA,NA,NA,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0.03,0.01,0.15,0.48,0.7
W1,C,5,MIN,NA,NA,NA,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0.1,0.02,0.15,0.54,0.63
W1,C,7,MIN,NA,NA,NA,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.04,0.02,0.14,0.53,0.62
W1,C,9,MIN,NA,NA,NA,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88,0.05,0.03,0.17,0.76,1.11
W1,D,2,MIN,NA,0.64,95.93,4.37,4,6.41,0.24,12.21,0,1.41,0,15.45,3.26,1.22,0.08,0,0.1,0.49,0.66
W1,D,3,MIN,NA,0.5,75,3.72,3.65,7.37,0.25,11.91,3.82,14.19,0,24.77,2.87,1.61,0.05,0.01,0.13,0.57,0.76
W1,D,4,MIN,NA,0.656,98.39,3.91,3.59,6.01,0.18,11.18,0.13,4.79,0.17,6.9,5.41,1.48,0.07,0.01,0.08,0.64,0.76
W1,D,5,MIN,NA,0.567,85.03,4.09,3.58,5.96,0.24,14.62,2.6,1.28,0,14.87,0.56,2.58,0.06,0.01,0.13,0.7,0.86
W1,D,6,MIN,NA,0.668,100.18,4.22,3.95,5.5,0.24,11.15,0.36,3.01,0,2.21,0.57,2.03,0.14,0.02,0.12,0.75,0.78
W1,D,7,MIN,NA,0.444,66.63,3.9,3.52,14.18,0.36,21.52,8.55,17.5,2.57,-14.24,-2.57,3,0.12,0.03,0.18,0.91,0.93
W1,D,8,MIN,NA,0.452,67.78,3.88,3.3,6.55,0.22,15.94,9.48,7.68,0,14.39,2.63,3.07,0.06,0.02,0.12,0.86,0.69
W1,D,9,MIN,NA,0.526,78.94,3.99,3.72,9.46,0.25,15.13,15.18,1.16,0,8.69,0.52,2.31,0,0.01,0.14,0.88,0.88
W1,D,10,MIN,NA,0.497,74.62,4.33,4.13,6.33,0.25,11.86,4.18,0,0.06,8.4,0.73,1.93,0,0.02,0.17,0.81,0.84
W1,E,3,MIN,NA,NA,NA,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,0,0.02,0.12,0.58,0.83
W1,E,5,MIN,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,0,0.03,0.12,0.57,0.71
W1,E,7,MIN,NA,NA,NA,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,0,0.03,0.13,0.8,1.23
W1,E,9,MIN,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0,0.04,0.25,1.9,1.27
W1,F,2,MIN,NA,0.542,81.3,3.99,3.86,6.47,0.26,12.66,14.81,1.26,0,7.31,0.93,1.15,0,0.02,0.09,0.73,0.98
W1,F,3,MIN,NA,0.63,94.53,4.32,4.02,6.95,0.26,11.46,0,4.23,0,7.64,1.33,1.43,0,0.01,0.09,0.66,0.87
W1,F,4,MIN,NA,0.29,43.52,3.45,2.98,15,0.43,28.04,6.14,6.01,0,49.05,2.41,2.49,0,0.01,0.11,0.87,0.94
W1,F,5,MIN,NA,0.323,48.45,3.95,3.19,13.34,0.52,23.92,14.2,51.57,0,-28,3.31,2.53,0.02,0.05,0.24,0.74,0.87
W1,F,6,MIN,NA,0.327,49.12,3.93,3.86,13.01,0.64,22.98,3.82,2.65,0,13.39,3.15,1.94,0.13,0.02,0.12,1.07,1.83
W1,F,7,MIN,NA,0.419,62.84,4.1,3.76,7.11,0.36,18.98,18.06,2.53,0,6.11,1.29,4.05,0.11,0.08,0.34,0.95,1.68
W1,F,8,MIN,NA,0.197,29.62,4.22,3.69,27,1.27,67,30.47,7.94,0,43.86,8.45,7.99,0.14,0.07,0.34,2.52,1.95
W1,F,9,MIN,NA,0.553,82.9,3.72,3.86,8.69,0.32,15.19,25.92,1.76,0,9.2,4.14,0.83,0.13,0.09,0.49,1,2.11
